ID,year_type_id,연령대,사고유형,지표,건수
534,2020,20세이하,철길건널목,사고[건],0
535,2020,20세이하,차대사람,사망[명],1395
536,2020,20세이하,차대차,사망[명],8208
537,2020,20세이하,차량단독,사망[명],743
538,2020,20세이하,철길건널목,사망[명],0
539,2020,20세이하,차대사람,부상[명],4594
540,2020,20세이하,차대차,부상[명],23922
541,2020,20세이하,차량단독,부상[명],1258
542,2020,20세이하,철길건널목,부상[명],1
543,2020,21~30세,차대사람,사고[건],126
544,2020,21~30세,차대차,사고[건],156
545,2020,21~30세,차량단독,사고[건],103
546,2020,21~30세,철길건널목,사고[건],0
547,2020,21~30세,차대사람,사망[명],4826
548,2020,21~30세,차대차,사망[명],38849
549,2020,21~30세,차량단독,사망[명],1459
550,2020,21~30세,철길건널목,사망[명],1
551,2020,21~30세,차대사람,부상[명],5175
552,2020,21~30세,차대차,부상[명],25344
553,2020,21~30세,차량단독,부상[명],1087
554,2020,21~30세,철길건널목,부상[명],0
555,2020,31~40세,차대사람,사고[건],150
556,2020,31~40세,차대차,사고[건],157
557,2020,31~40세,차량단독,사고[건],76
558,2020,31~40세,철길건널목,사고[건],0
559,2020,31~40세,차대사람,사망[명],5350
560,2020,31~40세,차대차,사망[명],40395
561,2020,31~40세,차량단독,사망[명],1177
562,2020,31~40세,철길건널목,사망[명],0
563,2020,31~40세,차대사람,부상[명],6698
564,2020,31~40세,차대차,부상[명],29936
565,2020,31~40세,차량단독,부상[명],1402
566,2020,31~40세,철길건널목,부상[명],0
567,2020,41~50세,차대사람,사고[건],207
568,2020,41~50세,차대차,사고[건],200
569,2020,41~50세,차량단독,사고[건],87
570,2020,41~50세,철길건널목,사고[건],0
571,2020,41~50세,차대사람,사망[명],6822
572,2020,41~50세,차대차,사망[명],47390
573,2020,41~50세,차량단독,사망[명],1525
574,2020,41~50세,철길건널목,사망[명],0
575,2020,41~50세,차대사람,부상[명],8836
576,2020,41~50세,차대차,부상[명],39334
577,2020,41~50세,차량단독,부상[명],2251
578,2020,41~50세,철길건널목,부상[명],0
579,2020,51~60세,차대사람,사고[건],282
580,2020,51~60세,차대차,사고[건],291
581,2020,51~60세,차량단독,사고[건],142
582,2020,51~60세,철길건널목,사고[건],0
583,2020,51~60세,차대사람,사망[명],8946
584,2020,51~60세,차대차,사망[명],62296
585,2020,51~60세,차량단독,사망[명],2461
586,2020,51~60세,철길건널목,사망[명],0
587,2020,51~60세,차대사람,부상[명],3149
588,2020,51~60세,차대차,부상[명],14308
589,2020,51~60세,차량단독,부상[명],717
590,2020,51~60세,철길건널목,부상[명],1
591,2020,61~64세,차대사람,사고[건],103
592,2020,61~64세,차대차,사고[건],130
593,2020,61~64세,차량단독,사고[건],47
594,2020,61~64세,철길건널목,사고[건],1
595,2020,61~64세,차대사람,사망[명],3196
596,2020,61~64세,차대차,사망[명],22263
597,2020,61~64세,차량단독,사망[명],778
598,2020,61~64세,철길건널목,사망[명],0
599,2020,61~64세,차대사람,부상[명],5156
600,2020,61~64세,차대차,부상[명],24329
601,2020,61~64세,차량단독,부상[명],1586
602,2020,61~64세,철길건널목,부상[명],1
603,2020,65세이상,차대사람,사고[건],183
604,2020,65세이상,차대차,사고[건],319
605,2020,65세이상,차량단독,사고[건],218
606,2020,65세이상,철길건널목,사고[건],0
607,2020,65세이상,차대사람,사망[명],5256
608,2020,65세이상,차대차,사망[명],37276
609,2020,65세이상,차량단독,사망[명],1735
610,2020,65세이상,철길건널목,사망[명],2
611,2020,65세이상,차대사람,부상[명],1374
612,2020,65세이상,차대차,부상[명],2073
613,2020,65세이상,차량단독,부상[명],23
614,2020,65세이상,철길건널목,부상[명],0
615,2020,연령불명,차대사람,사고[건],0
616,2020,연령불명,차대차,사고[건],0
617,2020,연령불명,차량단독,사고[건],0
618,2020,연령불명,철길건널목,사고[건],0
619,2020,연령불명,차대사람,사망[명],1389
620,2020,연령불명,차대차,사망[명],2433
621,2020,연령불명,차량단독,사망[명],23
622,2020,연령불명,철길건널목,사망[명],0
