ID,year_type_id,연령대,사고유형,지표,건수
801,2023,20세이하,철길건널목,사고[건],0
802,2023,20세이하,차대사람,사망[명],1690
803,2023,20세이하,차대차,사망[명],5380
804,2023,20세이하,차량단독,사망[명],453
805,2023,20세이하,철길건널목,사망[명],0
806,2023,20세이하,차대사람,부상[명],4147
807,2023,20세이하,차대차,부상[명],19992
808,2023,20세이하,차량단독,부상[명],836
809,2023,20세이하,철길건널목,부상[명],0
810,2023,21~30세,차대사람,사고[건],95
811,2023,21~30세,차대차,사고[건],121
812,2023,21~30세,차량단독,사고[건],80
813,2023,21~30세,철길건널목,사고[건],0
814,2023,21~30세,차대사람,사망[명],4369
815,2023,21~30세,차대차,사망[명],31796
816,2023,21~30세,차량단독,사망[명],960
817,2023,21~30세,철길건널목,사망[명],0
818,2023,21~30세,차대사람,부상[명],4642
819,2023,21~30세,차대차,부상[명],22187
820,2023,21~30세,차량단독,부상[명],840
821,2023,21~30세,철길건널목,부상[명],0
822,2023,31~40세,차대사람,사고[건],92
823,2023,31~40세,차대차,사고[건],113
824,2023,31~40세,차량단독,사고[건],55
825,2023,31~40세,철길건널목,사고[건],0
826,2023,31~40세,차대사람,사망[명],4824
827,2023,31~40세,차대차,사망[명],34585
828,2023,31~40세,차량단독,사망[명],941
829,2023,31~40세,철길건널목,사망[명],0
830,2023,31~40세,차대사람,부상[명],6324
831,2023,31~40세,차대차,부상[명],25872
832,2023,31~40세,차량단독,부상[명],1232
833,2023,31~40세,철길건널목,부상[명],0
834,2023,41~50세,차대사람,사고[건],135
835,2023,41~50세,차대차,사고[건],145
836,2023,41~50세,차량단독,사고[건],77
837,2023,41~50세,철길건널목,사고[건],0
838,2023,41~50세,차대사람,사망[명],6514
839,2023,41~50세,차대차,사망[명],40204
840,2023,41~50세,차량단독,사망[명],1301
841,2023,41~50세,철길건널목,사망[명],0
842,2023,41~50세,차대사람,부상[명],8414
843,2023,41~50세,차대차,부상[명],33737
844,2023,41~50세,차량단독,부상[명],2170
845,2023,41~50세,철길건널목,부상[명],1
846,2023,51~60세,차대사람,사고[건],228
847,2023,51~60세,차대차,사고[건],230
848,2023,51~60세,차량단독,사고[건],127
849,2023,51~60세,철길건널목,사고[건],0
850,2023,51~60세,차대사람,사망[명],8632
851,2023,51~60세,차대차,사망[명],52024
852,2023,51~60세,차량단독,사망[명],2383
853,2023,51~60세,철길건널목,사망[명],1
854,2023,51~60세,차대사람,부상[명],3720
855,2023,51~60세,차대차,부상[명],15390
856,2023,51~60세,차량단독,부상[명],936
857,2023,51~60세,철길건널목,부상[명],0
858,2023,61~64세,차대사람,사고[건],96
859,2023,61~64세,차대차,사고[건],94
860,2023,61~64세,차량단독,사고[건],58
861,2023,61~64세,철길건널목,사고[건],0
862,2023,61~64세,차대사람,사망[명],3812
863,2023,61~64세,차대차,사망[명],23843
864,2023,61~64세,차량단독,사망[명],1070
865,2023,61~64세,철길건널목,사망[명],0
866,2023,61~64세,차대사람,부상[명],7066
867,2023,61~64세,차대차,부상[명],30570
868,2023,61~64세,차량단독,부상[명],1977
869,2023,61~64세,철길건널목,부상[명],1
870,2023,65세이상,차대사람,사고[건],198
871,2023,65세이상,차대차,사고[건],311
872,2023,65세이상,차량단독,사고[건],235
873,2023,65세이상,철길건널목,사고[건],1
874,2023,65세이상,차대사람,사망[명],7304
875,2023,65세이상,차대차,사망[명],46637
876,2023,65세이상,차량단독,사망[명],2126
877,2023,65세이상,철길건널목,사망[명],0
878,2023,65세이상,차대사람,부상[명],1105
879,2023,65세이상,차대차,부상[명],1533
880,2023,65세이상,차량단독,부상[명],13
881,2023,65세이상,철길건널목,부상[명],0
882,2023,연령불명,차대사람,사고[건],0
883,2023,연령불명,차대차,사고[건],0
884,2023,연령불명,차량단독,사고[건],0
885,2023,연령불명,철길건널목,사고[건],0
886,2023,연령불명,차대사람,사망[명],1118
887,2023,연령불명,차대차,사망[명],1818
888,2023,연령불명,차량단독,사망[명],14
889,2023,연령불명,철길건널목,사망[명],0
