ID,year_type_id,연령대,지표,사고유형,건수
356,2018,20세이하,사고[건],철길건널목,0
357,2018,20세이하,사망[명],차대사람,1469
358,2018,20세이하,사망[명],차대차,7287
359,2018,20세이하,사망[명],차량단독,664
360,2018,20세이하,사망[명],철길건널목,0
361,2018,20세이하,부상[명],차대사람,5347
362,2018,20세이하,부상[명],차대차,22149
363,2018,20세이하,부상[명],차량단독,1231
364,2018,20세이하,부상[명],철길건널목,0
365,2018,21~30세,사고[건],차대사람,166
366,2018,21~30세,사고[건],차대차,167
367,2018,21~30세,사고[건],차량단독,87
368,2018,21~30세,사고[건],철길건널목,0
369,2018,21~30세,사망[명],차대사람,5626
370,2018,21~30세,사망[명],차대차,37090
371,2018,21~30세,사망[명],차량단독,1488
372,2018,21~30세,사망[명],철길건널목,0
373,2018,21~30세,부상[명],차대사람,6773
374,2018,21~30세,부상[명],차대차,25706
375,2018,21~30세,부상[명],차량단독,1139
376,2018,21~30세,부상[명],철길건널목,0
377,2018,31~40세,사고[건],차대사람,232
378,2018,31~40세,사고[건],차대차,192
379,2018,31~40세,사고[건],차량단독,87
380,2018,31~40세,사고[건],철길건널목,0
381,2018,31~40세,사망[명],차대사람,6938
382,2018,31~40세,사망[명],차대차,42594
383,2018,31~40세,사망[명],차량단독,1264
384,2018,31~40세,사망[명],철길건널목,0
385,2018,31~40세,부상[명],차대사람,9080
386,2018,31~40세,부상[명],차대차,31424
387,2018,31~40세,부상[명],차량단독,1700
388,2018,31~40세,부상[명],철길건널목,0
389,2018,41~50세,사고[건],차대사람,307
390,2018,41~50세,사고[건],차대차,216
391,2018,41~50세,사고[건],차량단독,113
392,2018,41~50세,사고[건],철길건널목,0
393,2018,41~50세,사망[명],차대사람,9266
394,2018,41~50세,사망[명],차대차,51971
395,2018,41~50세,사망[명],차량단독,1900
396,2018,41~50세,사망[명],철길건널목,0
397,2018,41~50세,부상[명],차대사람,11279
398,2018,41~50세,부상[명],차대차,39641
399,2018,41~50세,부상[명],차량단독,2710
400,2018,41~50세,부상[명],철길건널목,1
401,2018,51~60세,사고[건],차대사람,384
402,2018,51~60세,사고[건],차대차,374
403,2018,51~60세,사고[건],차량단독,181
404,2018,51~60세,사고[건],철길건널목,1
405,2018,51~60세,사망[명],차대사람,11452
406,2018,51~60세,사망[명],차대차,65474
407,2018,51~60세,사망[명],차량단독,3190
408,2018,51~60세,사망[명],철길건널목,0
409,2018,51~60세,부상[명],차대사람,3773
410,2018,51~60세,부상[명],차대차,13434
411,2018,51~60세,부상[명],차량단독,887
412,2018,51~60세,부상[명],철길건널목,1
413,2018,61~64세,사고[건],차대사람,127
414,2018,61~64세,사고[건],차대차,129
415,2018,61~64세,사고[건],차량단독,74
416,2018,61~64세,사고[건],철길건널목,0
417,2018,61~64세,사망[명],차대사람,3821
418,2018,61~64세,사망[명],차대차,22298
419,2018,61~64세,사망[명],차량단독,1017
420,2018,61~64세,사망[명],철길건널목,6
421,2018,61~64세,부상[명],차대사람,5836
422,2018,61~64세,부상[명],차대차,22504
423,2018,61~64세,부상[명],차량단독,1671
424,2018,61~64세,부상[명],철길건널목,1
425,2018,65세이상,사고[건],차대사람,206
426,2018,65세이상,사고[건],차대차,379
427,2018,65세이상,사고[건],차량단독,257
428,2018,65세이상,사고[건],철길건널목,1
429,2018,65세이상,사망[명],차대사람,6002
430,2018,65세이상,사망[명],차대차,35598
431,2018,65세이상,사망[명],차량단독,1869
432,2018,65세이상,사망[명],철길건널목,0
433,2018,65세이상,부상[명],차대사람,1861
434,2018,65세이상,부상[명],차대차,2301
435,2018,65세이상,부상[명],차량단독,45
436,2018,65세이상,부상[명],철길건널목,0
437,2018,연령불명,사고[건],차대사람,1
438,2018,연령불명,사고[건],차대차,3
439,2018,연령불명,사고[건],차량단독,0
440,2018,연령불명,사고[건],철길건널목,0
441,2018,연령불명,사망[명],차대사람,1882
442,2018,연령불명,사망[명],차대차,2825
443,2018,연령불명,사망[명],차량단독,46
444,2018,연령불명,사망[명],철길건널목,0
