ID,year_type_id,연령대,지표,사고유형,건수
267,2017,20세이하,사고[건],철길건널목,0
268,2017,20세이하,사망[명],차대사람,1919
269,2017,20세이하,사망[명],차대차,8639
270,2017,20세이하,사망[명],차량단독,860
271,2017,20세이하,사망[명],철길건널목,0
272,2017,20세이하,부상[명],차대사람,5483
273,2017,20세이하,부상[명],차대차,22601
274,2017,20세이하,부상[명],차량단독,1170
275,2017,20세이하,부상[명],철길건널목,0
276,2017,21~30세,사고[건],차대사람,192
277,2017,21~30세,사고[건],차대차,200
278,2017,21~30세,사고[건],차량단독,112
279,2017,21~30세,사고[건],철길건널목,0
280,2017,21~30세,사망[명],차대사람,5713
281,2017,21~30세,사망[명],차대차,38320
282,2017,21~30세,사망[명],차량단독,1385
283,2017,21~30세,사망[명],철길건널목,0
284,2017,21~30세,부상[명],차대사람,7300
285,2017,21~30세,부상[명],차대차,25707
286,2017,21~30세,부상[명],차량단독,1172
287,2017,21~30세,부상[명],철길건널목,0
288,2017,31~40세,사고[건],차대사람,250
289,2017,31~40세,사고[건],차대차,233
290,2017,31~40세,사고[건],차량단독,103
291,2017,31~40세,사고[건],철길건널목,0
292,2017,31~40세,사망[명],차대사람,7494
293,2017,31~40세,사망[명],차대차,43285
294,2017,31~40세,사망[명],차량단독,1316
295,2017,31~40세,사망[명],철길건널목,0
296,2017,31~40세,부상[명],차대사람,9703
297,2017,31~40세,부상[명],차대차,32174
298,2017,31~40세,부상[명],차량단독,1791
299,2017,31~40세,부상[명],철길건널목,0
300,2017,41~50세,사고[건],차대사람,342
301,2017,41~50세,사고[건],차대차,291
302,2017,41~50세,사고[건],차량단독,106
303,2017,41~50세,사고[건],철길건널목,0
304,2017,41~50세,사망[명],차대사람,9818
305,2017,41~50세,사망[명],차대차,53881
306,2017,41~50세,사망[명],차량단독,2091
307,2017,41~50세,사망[명],철길건널목,0
308,2017,41~50세,부상[명],차대사람,11684
309,2017,41~50세,부상[명],차대차,39143
310,2017,41~50세,부상[명],차량단독,2585
311,2017,41~50세,부상[명],철길건널목,0
312,2017,51~60세,사고[건],차대사람,465
313,2017,51~60세,사고[건],차대차,410
314,2017,51~60세,사고[건],차량단독,191
315,2017,51~60세,사고[건],철길건널목,0
316,2017,51~60세,사망[명],차대사람,11849
317,2017,51~60세,사망[명],차대차,65145
318,2017,51~60세,사망[명],차량단독,3078
319,2017,51~60세,사망[명],철길건널목,0
320,2017,51~60세,부상[명],차대사람,3520
321,2017,51~60세,부상[명],차대차,12124
322,2017,51~60세,부상[명],차량단독,731
323,2017,51~60세,부상[명],철길건널목,0
324,2017,61~64세,사고[건],차대사람,121
325,2017,61~64세,사고[건],차대차,131
326,2017,61~64세,사고[건],차량단독,65
327,2017,61~64세,사고[건],철길건널목,0
328,2017,61~64세,사망[명],차대사람,3598
329,2017,61~64세,사망[명],차대차,19861
330,2017,61~64세,사망[명],차량단독,900
331,2017,61~64세,사망[명],철길건널목,0
332,2017,61~64세,부상[명],차대사람,5230
333,2017,61~64세,부상[명],차대차,20034
334,2017,61~64세,부상[명],차량단독,1446
335,2017,61~64세,부상[명],철길건널목,3
336,2017,65세이상,사고[건],차대사람,220
337,2017,65세이상,사고[건],차대차,414
338,2017,65세이상,사고[건],차량단독,213
339,2017,65세이상,사고[건],철길건널목,1
340,2017,65세이상,사망[명],차대사람,5316
341,2017,65세이상,사망[명],차대차,31645
342,2017,65세이상,사망[명],차량단독,1663
343,2017,65세이상,사망[명],철길건널목,3
344,2017,65세이상,부상[명],차대사람,2108
345,2017,65세이상,부상[명],차대차,2416
346,2017,65세이상,부상[명],차량단독,35
347,2017,65세이상,부상[명],철길건널목,0
348,2017,연령불명,사고[건],차대사람,1
349,2017,연령불명,사고[건],차대차,0
350,2017,연령불명,사고[건],차량단독,0
351,2017,연령불명,사고[건],철길건널목,0
352,2017,연령불명,사망[명],차대사람,2120
353,2017,연령불명,사망[명],차대차,2892
354,2017,연령불명,사망[명],차량단독,38
355,2017,연령불명,사망[명],철길건널목,0
