ID,year_type_id,연령대,지표,사고유형,건수
712,2022,20세이하,사고[건],철길건널목,0
713,2022,20세이하,사망[명],차대사람,1898
714,2022,20세이하,사망[명],차대차,6481
715,2022,20세이하,사망[명],차량단독,484
716,2022,20세이하,사망[명],철길건널목,0
717,2022,20세이하,부상[명],차대사람,4647
718,2022,20세이하,부상[명],차대차,21239
719,2022,20세이하,부상[명],차량단독,1018
720,2022,20세이하,부상[명],철길건널목,0
721,2022,21~30세,사고[건],차대사람,115
722,2022,21~30세,사고[건],차대차,128
723,2022,21~30세,사고[건],차량단독,92
724,2022,21~30세,사고[건],철길건널목,0
725,2022,21~30세,사망[명],차대사람,4849
726,2022,21~30세,사망[명],차대차,33714
727,2022,21~30세,사망[명],차량단독,1143
728,2022,21~30세,사망[명],철길건널목,0
729,2022,21~30세,부상[명],차대사람,4915
730,2022,21~30세,부상[명],차대차,22620
731,2022,21~30세,부상[명],차량단독,866
732,2022,21~30세,부상[명],철길건널목,1
733,2022,31~40세,사고[건],차대사람,113
734,2022,31~40세,사고[건],차대차,142
735,2022,31~40세,사고[건],차량단독,61
736,2022,31~40세,사고[건],철길건널목,1
737,2022,31~40세,사망[명],차대사람,5048
738,2022,31~40세,사망[명],차대차,35323
739,2022,31~40세,사망[명],차량단독,915
740,2022,31~40세,사망[명],철길건널목,1
741,2022,31~40세,부상[명],차대사람,6439
742,2022,31~40세,부상[명],차대차,26317
743,2022,31~40세,부상[명],차량단독,1159
744,2022,31~40세,부상[명],철길건널목,0
745,2022,41~50세,사고[건],차대사람,161
746,2022,41~50세,사고[건],차대차,182
747,2022,41~50세,사고[건],차량단독,66
748,2022,41~50세,사고[건],철길건널목,0
749,2022,41~50세,사망[명],차대사람,6599
750,2022,41~50세,사망[명],차대차,40529
751,2022,41~50세,사망[명],차량단독,1261
752,2022,41~50세,사망[명],철길건널목,0
753,2022,41~50세,부상[명],차대사람,8437
754,2022,41~50세,부상[명],차대차,34276
755,2022,41~50세,부상[명],차량단독,1867
756,2022,41~50세,부상[명],철길건널목,1
757,2022,51~60세,사고[건],차대사람,232
758,2022,51~60세,사고[건],차대차,242
759,2022,51~60세,사고[건],차량단독,96
760,2022,51~60세,사고[건],철길건널목,0
761,2022,51~60세,사망[명],차대사람,8598
762,2022,51~60세,사망[명],차대차,52987
763,2022,51~60세,사망[명],차량단독,2044
764,2022,51~60세,사망[명],철길건널목,3
765,2022,51~60세,부상[명],차대사람,3634
766,2022,51~60세,부상[명],차대차,14682
767,2022,51~60세,부상[명],차량단독,844
768,2022,51~60세,부상[명],철길건널목,0
769,2022,61~64세,사고[건],차대사람,100
770,2022,61~64세,사고[건],차대차,129
771,2022,61~64세,사고[건],차량단독,68
772,2022,61~64세,사고[건],철길건널목,0
773,2022,61~64세,사망[명],차대사람,3694
774,2022,61~64세,사망[명],차대차,22915
775,2022,61~64세,사망[명],차량단독,957
776,2022,61~64세,사망[명],철길건널목,0
777,2022,61~64세,부상[명],차대사람,6313
778,2022,61~64세,부상[명],차대차,26641
779,2022,61~64세,부상[명],차량단독,1696
780,2022,61~64세,부상[명],철길건널목,2
781,2022,65세이상,사고[건],차대사람,168
782,2022,65세이상,사고[건],차대차,313
783,2022,65세이상,사고[건],차량단독,252
784,2022,65세이상,사고[건],철길건널목,2
785,2022,65세이상,사망[명],차대사람,6521
786,2022,65세이상,사망[명],차대차,40870
787,2022,65세이상,사망[명],차량단독,1889
788,2022,65세이상,사망[명],철길건널목,1
789,2022,65세이상,부상[명],차대사람,1146
790,2022,65세이상,부상[명],차대차,1552
791,2022,65세이상,부상[명],차량단독,16
792,2022,65세이상,부상[명],철길건널목,0
793,2022,연령불명,사고[건],차대사람,0
794,2022,연령불명,사고[건],차대차,0
795,2022,연령불명,사고[건],차량단독,0
796,2022,연령불명,사고[건],철길건널목,0
797,2022,연령불명,사망[명],차대사람,1155
798,2022,연령불명,사망[명],차대차,1903
799,2022,연령불명,사망[명],차량단독,21
800,2022,연령불명,사망[명],철길건널목,0
