ID,year_type_id,연령대,지표,사고유형,건수
178,2016,20세이하,사고[건],철길건널목,0
179,2016,20세이하,사망[명],차대사람,2143
180,2016,20세이하,사망[명],차대차,9532
181,2016,20세이하,사망[명],차량단독,920
182,2016,20세이하,사망[명],철길건널목,0
183,2016,20세이하,부상[명],차대사람,5796
184,2016,20세이하,부상[명],차대차,22590
185,2016,20세이하,부상[명],차량단독,1411
186,2016,20세이하,부상[명],철길건널목,0
187,2016,21~30세,사고[건],차대사람,187
188,2016,21~30세,사고[건],차대차,216
189,2016,21~30세,사고[건],차량단독,119
190,2016,21~30세,사고[건],철길건널목,0
191,2016,21~30세,사망[명],차대사람,6081
192,2016,21~30세,사망[명],차대차,38598
193,2016,21~30세,사망[명],차량단독,1726
194,2016,21~30세,사망[명],철길건널목,0
195,2016,21~30세,부상[명],차대사람,7742
196,2016,21~30세,부상[명],차대차,26869
197,2016,21~30세,부상[명],차량단독,1288
198,2016,21~30세,부상[명],철길건널목,1
199,2016,31~40세,사고[건],차대사람,286
200,2016,31~40세,사고[건],차대차,206
201,2016,31~40세,사고[건],차량단독,91
202,2016,31~40세,사고[건],철길건널목,0
203,2016,31~40세,사망[명],차대사람,7917
204,2016,31~40세,사망[명],차대차,45376
205,2016,31~40세,사망[명],차량단독,1483
206,2016,31~40세,사망[명],철길건널목,1
207,2016,31~40세,부상[명],차대사람,10714
208,2016,31~40세,부상[명],차대차,34438
209,2016,31~40세,부상[명],차량단독,2067
210,2016,31~40세,부상[명],철길건널목,0
211,2016,41~50세,사고[건],차대사람,390
212,2016,41~50세,사고[건],차대차,353
213,2016,41~50세,사고[건],차량단독,155
214,2016,41~50세,사고[건],철길건널목,0
215,2016,41~50세,사망[명],차대사람,10932
216,2016,41~50세,사망[명],차대차,58062
217,2016,41~50세,사망[명],차량단독,2498
218,2016,41~50세,사망[명],철길건널목,0
219,2016,41~50세,부상[명],차대사람,11944
220,2016,41~50세,부상[명],차대차,39565
221,2016,41~50세,부상[명],차량단독,2789
222,2016,41~50세,부상[명],철길건널목,1
223,2016,51~60세,사고[건],차대사람,466
224,2016,51~60세,사고[건],차대차,421
225,2016,51~60세,사고[건],차량단독,158
226,2016,51~60세,사고[건],철길건널목,0
227,2016,51~60세,사망[명],차대사람,12095
228,2016,51~60세,사망[명],차대차,66725
229,2016,51~60세,사망[명],차량단독,3451
230,2016,51~60세,사망[명],철길건널목,1
231,2016,51~60세,부상[명],차대사람,3375
232,2016,51~60세,부상[명],차대차,11236
233,2016,51~60세,부상[명],차량단독,692
234,2016,51~60세,부상[명],철길건널목,2
235,2016,61~64세,사고[건],차대사람,137
236,2016,61~64세,사고[건],차대차,136
237,2016,61~64세,사고[건],차량단독,65
238,2016,61~64세,사고[건],철길건널목,0
239,2016,61~64세,사망[명],차대사람,3393
240,2016,61~64세,사망[명],차대차,18739
241,2016,61~64세,사망[명],차량단독,855
242,2016,61~64세,사망[명],철길건널목,2
243,2016,61~64세,부상[명],차대사람,4736
244,2016,61~64세,부상[명],차대차,18230
245,2016,61~64세,부상[명],차량단독,1461
246,2016,61~64세,부상[명],철길건널목,2
247,2016,65세이상,사고[건],차대사람,174
248,2016,65세이상,사고[건],차대차,368
249,2016,65세이상,사고[건],차량단독,217
250,2016,65세이상,사고[건],철길건널목,0
251,2016,65세이상,사망[명],차대사람,4853
252,2016,65세이상,사망[명],차대차,29115
253,2016,65세이상,사망[명],차량단독,1715
254,2016,65세이상,사망[명],철길건널목,4
255,2016,65세이상,부상[명],차대사람,2298
256,2016,65세이상,부상[명],차대차,2615
257,2016,65세이상,부상[명],차량단독,49
258,2016,65세이상,부상[명],철길건널목,0
259,2016,연령불명,사고[건],차대사람,0
260,2016,연령불명,사고[건],차대차,1
261,2016,연령불명,사고[건],차량단독,0
262,2016,연령불명,사고[건],철길건널목,0
263,2016,연령불명,사망[명],차대사람,2331
264,2016,연령불명,사망[명],차대차,3122
265,2016,연령불명,사망[명],차량단독,50
266,2016,연령불명,사망[명],철길건널목,0
