ID,year_type_id,연령대,사고유형,지표,건수
712,2022,20세이하,철길건널목,사고[건],0
713,2022,20세이하,차대사람,사망[명],1898
714,2022,20세이하,차대차,사망[명],6481
715,2022,20세이하,차량단독,사망[명],484
716,2022,20세이하,철길건널목,사망[명],0
717,2022,20세이하,차대사람,부상[명],4647
718,2022,20세이하,차대차,부상[명],21239
719,2022,20세이하,차량단독,부상[명],1018
720,2022,20세이하,철길건널목,부상[명],0
721,2022,21~30세,차대사람,사고[건],115
722,2022,21~30세,차대차,사고[건],128
723,2022,21~30세,차량단독,사고[건],92
724,2022,21~30세,철길건널목,사고[건],0
725,2022,21~30세,차대사람,사망[명],4849
726,2022,21~30세,차대차,사망[명],33714
727,2022,21~30세,차량단독,사망[명],1143
728,2022,21~30세,철길건널목,사망[명],0
729,2022,21~30세,차대사람,부상[명],4915
730,2022,21~30세,차대차,부상[명],22620
731,2022,21~30세,차량단독,부상[명],866
732,2022,21~30세,철길건널목,부상[명],1
733,2022,31~40세,차대사람,사고[건],113
734,2022,31~40세,차대차,사고[건],142
735,2022,31~40세,차량단독,사고[건],61
736,2022,31~40세,철길건널목,사고[건],1
737,2022,31~40세,차대사람,사망[명],5048
738,2022,31~40세,차대차,사망[명],35323
739,2022,31~40세,차량단독,사망[명],915
740,2022,31~40세,철길건널목,사망[명],1
741,2022,31~40세,차대사람,부상[명],6439
742,2022,31~40세,차대차,부상[명],26317
743,2022,31~40세,차량단독,부상[명],1159
744,2022,31~40세,철길건널목,부상[명],0
745,2022,41~50세,차대사람,사고[건],161
746,2022,41~50세,차대차,사고[건],182
747,2022,41~50세,차량단독,사고[건],66
748,2022,41~50세,철길건널목,사고[건],0
749,2022,41~50세,차대사람,사망[명],6599
750,2022,41~50세,차대차,사망[명],40529
751,2022,41~50세,차량단독,사망[명],1261
752,2022,41~50세,철길건널목,사망[명],0
753,2022,41~50세,차대사람,부상[명],8437
754,2022,41~50세,차대차,부상[명],34276
755,2022,41~50세,차량단독,부상[명],1867
756,2022,41~50세,철길건널목,부상[명],1
757,2022,51~60세,차대사람,사고[건],232
758,2022,51~60세,차대차,사고[건],242
759,2022,51~60세,차량단독,사고[건],96
760,2022,51~60세,철길건널목,사고[건],0
761,2022,51~60세,차대사람,사망[명],8598
762,2022,51~60세,차대차,사망[명],52987
763,2022,51~60세,차량단독,사망[명],2044
764,2022,51~60세,철길건널목,사망[명],3
765,2022,51~60세,차대사람,부상[명],3634
766,2022,51~60세,차대차,부상[명],14682
767,2022,51~60세,차량단독,부상[명],844
768,2022,51~60세,철길건널목,부상[명],0
769,2022,61~64세,차대사람,사고[건],100
770,2022,61~64세,차대차,사고[건],129
771,2022,61~64세,차량단독,사고[건],68
772,2022,61~64세,철길건널목,사고[건],0
773,2022,61~64세,차대사람,사망[명],3694
774,2022,61~64세,차대차,사망[명],22915
775,2022,61~64세,차량단독,사망[명],957
776,2022,61~64세,철길건널목,사망[명],0
777,2022,61~64세,차대사람,부상[명],6313
778,2022,61~64세,차대차,부상[명],26641
779,2022,61~64세,차량단독,부상[명],1696
780,2022,61~64세,철길건널목,부상[명],2
781,2022,65세이상,차대사람,사고[건],168
782,2022,65세이상,차대차,사고[건],313
783,2022,65세이상,차량단독,사고[건],252
784,2022,65세이상,철길건널목,사고[건],2
785,2022,65세이상,차대사람,사망[명],6521
786,2022,65세이상,차대차,사망[명],40870
787,2022,65세이상,차량단독,사망[명],1889
788,2022,65세이상,철길건널목,사망[명],1
789,2022,65세이상,차대사람,부상[명],1146
790,2022,65세이상,차대차,부상[명],1552
791,2022,65세이상,차량단독,부상[명],16
792,2022,65세이상,철길건널목,부상[명],0
793,2022,연령불명,차대사람,사고[건],0
794,2022,연령불명,차대차,사고[건],0
795,2022,연령불명,차량단독,사고[건],0
796,2022,연령불명,철길건널목,사고[건],0
797,2022,연령불명,차대사람,사망[명],1155
798,2022,연령불명,차대차,사망[명],1903
799,2022,연령불명,차량단독,사망[명],21
800,2022,연령불명,철길건널목,사망[명],0
