ID,year_type_id,연령대,지표,사고유형,건수
534,2020,20세이하,사고[건],철길건널목,0
535,2020,20세이하,사망[명],차대사람,1395
536,2020,20세이하,사망[명],차대차,8208
537,2020,20세이하,사망[명],차량단독,743
538,2020,20세이하,사망[명],철길건널목,0
539,2020,20세이하,부상[명],차대사람,4594
540,2020,20세이하,부상[명],차대차,23922
541,2020,20세이하,부상[명],차량단독,1258
542,2020,20세이하,부상[명],철길건널목,1
543,2020,21~30세,사고[건],차대사람,126
544,2020,21~30세,사고[건],차대차,156
545,2020,21~30세,사고[건],차량단독,103
546,2020,21~30세,사고[건],철길건널목,0
547,2020,21~30세,사망[명],차대사람,4826
548,2020,21~30세,사망[명],차대차,38849
549,2020,21~30세,사망[명],차량단독,1459
550,2020,21~30세,사망[명],철길건널목,1
551,2020,21~30세,부상[명],차대사람,5175
552,2020,21~30세,부상[명],차대차,25344
553,2020,21~30세,부상[명],차량단독,1087
554,2020,21~30세,부상[명],철길건널목,0
555,2020,31~40세,사고[건],차대사람,150
556,2020,31~40세,사고[건],차대차,157
557,2020,31~40세,사고[건],차량단독,76
558,2020,31~40세,사고[건],철길건널목,0
559,2020,31~40세,사망[명],차대사람,5350
560,2020,31~40세,사망[명],차대차,40395
561,2020,31~40세,사망[명],차량단독,1177
562,2020,31~40세,사망[명],철길건널목,0
563,2020,31~40세,부상[명],차대사람,6698
564,2020,31~40세,부상[명],차대차,29936
565,2020,31~40세,부상[명],차량단독,1402
566,2020,31~40세,부상[명],철길건널목,0
567,2020,41~50세,사고[건],차대사람,207
568,2020,41~50세,사고[건],차대차,200
569,2020,41~50세,사고[건],차량단독,87
570,2020,41~50세,사고[건],철길건널목,0
571,2020,41~50세,사망[명],차대사람,6822
572,2020,41~50세,사망[명],차대차,47390
573,2020,41~50세,사망[명],차량단독,1525
574,2020,41~50세,사망[명],철길건널목,0
575,2020,41~50세,부상[명],차대사람,8836
576,2020,41~50세,부상[명],차대차,39334
577,2020,41~50세,부상[명],차량단독,2251
578,2020,41~50세,부상[명],철길건널목,0
579,2020,51~60세,사고[건],차대사람,282
580,2020,51~60세,사고[건],차대차,291
581,2020,51~60세,사고[건],차량단독,142
582,2020,51~60세,사고[건],철길건널목,0
583,2020,51~60세,사망[명],차대사람,8946
584,2020,51~60세,사망[명],차대차,62296
585,2020,51~60세,사망[명],차량단독,2461
586,2020,51~60세,사망[명],철길건널목,0
587,2020,51~60세,부상[명],차대사람,3149
588,2020,51~60세,부상[명],차대차,14308
589,2020,51~60세,부상[명],차량단독,717
590,2020,51~60세,부상[명],철길건널목,1
591,2020,61~64세,사고[건],차대사람,103
592,2020,61~64세,사고[건],차대차,130
593,2020,61~64세,사고[건],차량단독,47
594,2020,61~64세,사고[건],철길건널목,1
595,2020,61~64세,사망[명],차대사람,3196
596,2020,61~64세,사망[명],차대차,22263
597,2020,61~64세,사망[명],차량단독,778
598,2020,61~64세,사망[명],철길건널목,0
599,2020,61~64세,부상[명],차대사람,5156
600,2020,61~64세,부상[명],차대차,24329
601,2020,61~64세,부상[명],차량단독,1586
602,2020,61~64세,부상[명],철길건널목,1
603,2020,65세이상,사고[건],차대사람,183
604,2020,65세이상,사고[건],차대차,319
605,2020,65세이상,사고[건],차량단독,218
606,2020,65세이상,사고[건],철길건널목,0
607,2020,65세이상,사망[명],차대사람,5256
608,2020,65세이상,사망[명],차대차,37276
609,2020,65세이상,사망[명],차량단독,1735
610,2020,65세이상,사망[명],철길건널목,2
611,2020,65세이상,부상[명],차대사람,1374
612,2020,65세이상,부상[명],차대차,2073
613,2020,65세이상,부상[명],차량단독,23
614,2020,65세이상,부상[명],철길건널목,0
615,2020,연령불명,사고[건],차대사람,0
616,2020,연령불명,사고[건],차대차,0
617,2020,연령불명,사고[건],차량단독,0
618,2020,연령불명,사고[건],철길건널목,0
619,2020,연령불명,사망[명],차대사람,1389
620,2020,연령불명,사망[명],차대차,2433
621,2020,연령불명,사망[명],차량단독,23
622,2020,연령불명,사망[명],철길건널목,0
